id,geography,totpop,fem18_49,per_fem,medinc,moe_medinc
36005000100,"Census Tract 1, Bronx County, New York city, New York",11091,787,7.1,,
36005000200,"Census Tract 2, Bronx County, New York city, New York",4334,1042,24.0,72034.0,13991.0
36005000400,"Census Tract 4, Bronx County, New York city, New York",5503,1404,25.5,74836.0,8407.0
36005001600,"Census Tract 16, Bronx County, New York city, New York",5643,1351,23.9,32312.0,6859.0
36005001900,"Census Tract 19, Bronx County, New York city, New York",1917,476,24.8,37936.0,3771.0
36005002000,"Census Tract 20, Bronx County, New York city, New York",8731,2193,25.1,18086.0,3694.0
36005002300,"Census Tract 23, Bronx County, New York city, New York",4933,1231,25.0,14479.0,1901.0
36005002400,"Census Tract 24, Bronx County, New York city, New York",4,1,25.0,,
36005002500,"Census Tract 25, Bronx County, New York city, New York",5491,1334,24.3,17226.0,6097.0
36005002701,"Census Tract 27.01, Bronx County, New York city, New York",3113,764,24.5,20153.0,5229.0
36005002702,"Census Tract 27.02, Bronx County, New York city, New York",4475,1141,25.5,17147.0,7165.0
36005002800,"Census Tract 28, Bronx County, New York city, New York",5586,1324,23.7,49529.0,5441.0
36005003100,"Census Tract 31, Bronx County, New York city, New York",1597,414,25.900000000000002,37250.0,12079.0
36005003300,"Census Tract 33, Bronx County, New York city, New York",3413,920,27.0,19923.0,2402.0
36005003500,"Census Tract 35, Bronx County, New York city, New York",3761,957,25.4,26541.0,7009.0
36005003700,"Census Tract 37, Bronx County, New York city, New York",245,52,21.2,,
36005003800,"Census Tract 38, Bronx County, New York city, New York",1264,314,24.8,37685.0,6696.0
36005003900,"Census Tract 39, Bronx County, New York city, New York",6475,1526,23.599999999999998,25990.0,6323.0
36005004001,"Census Tract 40.01, Bronx County, New York city, New York",1420,329,23.200000000000003,48056.0,6057.0
36005004100,"Census Tract 41, Bronx County, New York city, New York",6127,1476,24.099999999999998,18636.0,3658.0
36005004200,"Census Tract 42, Bronx County, New York city, New York",7143,1719,24.099999999999998,25741.0,7845.0
36005004300,"Census Tract 43, Bronx County, New York city, New York",5056,1273,25.2,21448.0,3092.0
36005004400,"Census Tract 44, Bronx County, New York city, New York",4797,1171,24.4,22719.0,2899.0
36005004600,"Census Tract 46, Bronx County, New York city, New York",1555,337,21.7,40950.0,10707.0
36005004800,"Census Tract 48, Bronx County, New York city, New York",3883,987,25.4,30301.0,4692.0
36005005001,"Census Tract 50.01, Bronx County, New York city, New York",4767,1158,24.3,27456.0,9296.0
36005005002,"Census Tract 50.02, Bronx County, New York city, New York",5823,1412,24.2,28039.0,5380.0
36005005100,"Census Tract 51, Bronx County, New York city, New York",5810,1495,25.7,18633.0,2086.0
36005005200,"Census Tract 52, Bronx County, New York city, New York",2031,512,25.2,17756.0,3843.0
36005005300,"Census Tract 53, Bronx County, New York city, New York",4669,1245,26.700000000000003,17719.0,4121.0
36005005400,"Census Tract 54, Bronx County, New York city, New York",5853,1433,24.5,27380.0,6078.0
36005005600,"Census Tract 56, Bronx County, New York city, New York",2711,629,23.200000000000003,17771.0,4860.0
36005005902,"Census Tract 59.02, Bronx County, New York city, New York",2582,594,23.0,38542.0,6531.0
36005006000,"Census Tract 60, Bronx County, New York city, New York",1129,270,23.9,41190.0,4642.0
36005006100,"Census Tract 61, Bronx County, New York city, New York",3713,706,19.0,48298.0,9993.0
36005006200,"Census Tract 62, Bronx County, New York city, New York",6585,1618,24.6,24480.0,5909.0
36005006300,"Census Tract 63, Bronx County, New York city, New York",5280,1320,25.0,32064.0,4061.0
36005006400,"Census Tract 64, Bronx County, New York city, New York",3967,911,23.0,30726.0,8555.0
36005006500,"Census Tract 65, Bronx County, New York city, New York",5337,1305,24.5,21384.0,5108.0
36005006700,"Census Tract 67, Bronx County, New York city, New York",6984,1766,25.3,21016.0,4709.0
36005006800,"Census Tract 68, Bronx County, New York city, New York",2897,688,23.7,47232.0,11781.0
