"abi"	"coname"	"addr"	"city"	"state"	"zip"	"stcode"	"cntycd"	"prmsic"	"ssic1"	"sicd"	"pnacode"	"pnatitl"	"latitude_2010"	"longitude_2010"
"606122992"	"123 CAFE"	"123 AVENUE U"	"BROOKLYN"	"NY"	"11223"	"36"	"047"	"581228"	"581228"	"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.5965	-73.9798
"707088938"	"156 COFFEE TEX MEX"	"156 KNICKERBOCKER AVE"	"BROOKLYN"	"NY"	"11237"	"36"	"047"	"581228"		"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.704	-73.9281
"403508378"	"207 DELI GRILL"	"4930 BROADWAY"	"NEW YORK"	"NY"	"10034"	"36"	"061"	"581228"	"581228"	"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.8675	-73.9214
"259150670"	"24 7 COFFEE"	"5904 18TH AVE # 101"	"BROOKLYN"	"NY"	"11204"	"36"	"047"	"581228"	"581228"	"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.6226	-73.9871
"416334576"	"2955 BROADWAY CORP"	"2953 BROADWAY"	"NEW YORK"	"NY"	"10025"	"36"	"061"	"581228"		"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.8044	-73.9664
"414461281"	"34 STREET COFFEE SHOP INC"	"593 1ST AVE"	"NEW YORK"	"NY"	"10016"	"36"	"061"	"581228"	"581228"	"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7438	-73.9739
"716648241"	"38 STREET COFFEE SHOP"	"32 W 38TH ST # 1"	"NEW YORK"	"NY"	"10018"	"36"	"061"	"581228"		"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7514	-73.9844
"425870337"	"39 COFFEE SHOP CORP"	"39 W 31ST ST"	"NEW YORK"	"NY"	"10001"	"36"	"061"	"581228"	"581228"	"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7476	-73.9876
"414520621"	"94 CORNER CAFE"	"2518 BROADWAY"	"NEW YORK"	"NY"	"10025"	"36"	"061"	"581228"	"581220"	"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7933	-73.9725
"389573916"	"A & A COFFEE SHOP"	"46 W 21ST ST"	"NEW YORK"	"NY"	"10010"	"36"	"061"	"581228"	"581228"	"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.741	-73.9928
"427579931"	"A B BIAGI NEW YORK LLC"	"235 ELIZABETH ST"	"NEW YORK"	"NY"	"10012"	"36"	"061"	"581228"	"581228"	"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7231	-73.9941
"400785445"	"ABELS COFFEE SVC INC"	"200 E BROADWAY"	"NEW YORK"	"NY"	"10002"	"36"	"061"	"581228"	"581228"	"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7144	-73.9879
"400807415"	"ACO INC"	"13 SAINT MARKS PL # 2"	"NEW YORK"	"NY"	"10003"	"36"	"061"	"581228"		"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7294	-73.9889
"521379560"	"ADJ COFFEE SHOP"	"1 BROOKDALE PLZ"	"BROOKLYN"	"NY"	"11212"	"36"	"047"	"581228"		"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.6553	-73.9136
"402828530"	"A J CLASSIC CAFE & GRILL INC"	"1637 BROADWAY # A"	"BROOKLYN"	"NY"	"11207"	"36"	"047"	"581228"		"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.6852	-73.9139
"401467480"	"ALEFF COFFEE HOUSE INC"	"333 W 39TH ST # 1"	"NEW YORK"	"NY"	"10018"	"36"	"061"	"581228"		"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7562	-73.9926
"405030684"	"ALIZEE COFFEE SHOP"	"146 WILSON AVE"	"BROOKLYN"	"NY"	"11237"	"36"	"047"	"581228"	"581228"	"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7004	-73.9254
"239006752"	"ALKARIM COFFEE"	"2572 STEINWAY ST"	"ASTORIA"	"NY"	"11103"	"36"	"081"	"581228"		"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7663	-73.9133
"354340903"	"AMERICAN COFFEE SHOP"	"108 MOORE ST"	"BROOKLYN"	"NY"	"11206"	"36"	"047"	"581228"	"581228"	"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7035	-73.9411
"404629066"	"AMIGO NINETY NINE OF WILLIS"	"400 E 141ST ST"	"BRONX"	"NY"	"10454"	"36"	"005"	"581228"		"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.8107	-73.9212
"436682135"	"ANATOLIYS DELUXE COFFEE"	"286 AVENUE U"	"BROOKLYN"	"NY"	"11223"	"36"	"047"	"581228"		"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.5969	-73.9732
"657364709"	"ANDREW'S COFFEE SHOP"	"901 CHURCH AVE"	"BROOKLYN"	"NY"	"11218"	"36"	"047"	"581228"		"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.6467	-73.9707
"113028856"	"ANDREW'S COFFEE SHOP"	"463 FASHION AVE # 2"	"NEW YORK"	"NY"	"10018"	"36"	"061"	"581228"	"581228"	"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7516	-73.9895
"521476200"	"ANGELAS COFFEE SHOP"	"1571 BROADWAY"	"BROOKLYN"	"NY"	"11207"	"36"	"047"	"581228"		"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.6859	-73.9153
"436682134"	"A P CREATIVE CAFE"	"420 TROUTMAN ST"	"BROOKLYN"	"NY"	"11237"	"36"	"047"	"581228"		"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7071	-73.9221
"403327690"	"ARCADE COFFEE"	"27 W 47TH ST # B20"	"NEW YORK"	"NY"	"10036"	"36"	"061"	"581228"		"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7574	-73.98
"417750479"	"ARGO TEA CAFE"	"75 UNIVERSITY PL"	"NEW YORK"	"NY"	"10003"	"36"	"061"	"581228"	"581228"	"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7332	-73.9932
"604885400"	"AROMA ESPRESSO BAR"	"145 GREENE ST"	"NEW YORK"	"NY"	"10012"	"36"	"061"	"581228"	"581228"	"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7254	-73.9992
"403898508"	"AROMA ON 42 ST"	"205 E 42ND ST"	"NEW YORK"	"NY"	"10017"	"36"	"061"	"581228"	"596104"	"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7508	-73.9736
"415153800"	"ASTORIA BOULEVARD DONUTS LLC"	"8310 ASTORIA BLVD"	"EAST ELMHURST"	"NY"	"11370"	"36"	"081"	"581228"	"581228"	"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7644	-73.8855
"700084349"	"ASTRONS COFFEE SHOP INC"	"3750 BROADWAY"	"NEW YORK"	"NY"	"10032"	"36"	"061"	"581228"		"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.8331	-73.9451
"421945605"	"ATHOM CAFE"	"1096 BROADWAY"	"BROOKLYN"	"NY"	"11221"	"36"	"047"	"581228"	"581228"	"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.6941	-73.9306
"682756101"	"AVE COFFEE"	"4501 GREENPOINT AVE"	"SUNNYSIDE"	"NY"	"11104"	"36"	"081"	"581228"	"581214"	"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7425	-73.9191
"402976744"	"AVE'S COFFEE SHOP"	"23 W 47TH ST # 24"	"NEW YORK"	"NY"	"10036"	"36"	"061"	"581228"	"581228"	"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7592	-73.9884
"401867600"	"BARCEY'S COFFEE BAGEL"	"143 SAINT NICHOLAS AVE"	"BROOKLYN"	"NY"	"11237"	"36"	"047"	"581228"		"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7048	-73.917
"706971476"	"BAY PLAZA JAVA"	"200 BAYCHESTER AVE"	"BRONX"	"NY"	"10475"	"36"	"005"	"581228"		"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.8702	-73.832
"422006305"	"B CUP"	"212 AVENUE B # 3"	"NEW YORK"	"NY"	"10009"	"36"	"061"	"581228"		"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7287	-73.9788
"436043018"	"BEAN"	"101 BEDFORD AVE"	"BROOKLYN"	"NY"	"11211"	"36"	"047"	"581228"		"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7203	-73.955
"426287547"	"BEAN & BEAN"	"21021 NORTHERN BLVD"	"BAYSIDE"	"NY"	"11361"	"36"	"081"	"581228"		"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7596	-73.7728
"220319818"	"BEAN COFFEE & TEA"	"49 1/2 1ST AVE # 1"	"NEW YORK"	"NY"	"10003"	"36"	"061"	"581228"	"581228"	"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7246	-73.9876
"417278998"	"BEAN INC"	"473 AMSTERDAM AVE"	"NEW YORK"	"NY"	"10024"	"36"	"061"	"581228"		"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7854	-73.9763
"400785446"	"BEAN N BEAN CORP"	"71 BROADWAY # 2"	"NEW YORK"	"NY"	"10006"	"36"	"061"	"581228"		"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.7072	-74.0123
"269358115"	"BEANS & CREPES"	"2650 CONEY ISLAND AVE"	"BROOKLYN"	"NY"	"11223"	"36"	"047"	"581228"	"581228"	"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.5922	-73.9609
"427064727"	"BEANS & LEAVES COFFEE-TEA CAFE"	"422 FOREST AVE"	"STATEN ISLAND"	"NY"	"10301"	"36"	"085"	"581228"	"581228"	"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.6307	-74.1035
"701979035"	"BEL AMI"	"30 E 68TH ST # 1"	"NEW YORK"	"NY"	"10065"	"36"	"061"	"581228"		"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.769	-73.9671
"239009640"	"BELLO RESTAURANT CORP"	"435 DEKALB AVE # 2"	"BROOKLYN"	"NY"	"11205"	"36"	"047"	"581228"	"581220"	"COFFEE SHOPS"	"72251505"	"SNACK & NONALCOHOLIC BEVERAGE BARS"	40.6906	-73.96
